MD1 	 MD2	 DMP 	 DM3 	 Br(h-->e-nu) 	 Br(h-->mu-nu) 	 Br(h-->tau-nu) 	 Br(h-->W-h1) 	 Br(W-->e-nu) 	Br(W-->mu-nu) 	 Br(W-->tau-nu)
1.677639e+02 	2.887324e+02 	5.687377e+01 	6.409468e+01 	1.112589e-01 	1.112573e-01 	1.107326e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.275213e+01 	1.703659e+02 	6.542190e+01 	7.219185e+01 	1.112172e-01 	1.112159e-01 	1.108106e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.665027e+02 	2.043967e+02 	1.634270e+01 	2.155134e+01 	1.133237e-01 	1.132992e-01 	1.069291e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.544614e+02 	2.972174e+02 	1.393396e+01 	2.882204e+01 	1.141530e-01 	1.141193e-01 	1.054259e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.535493e+02 	2.598051e+02 	4.300057e+01 	6.325520e+01 	1.114040e-01 	1.114008e-01 	1.104622e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.117610e+01 	1.070710e+02 	6.406172e+01 	3.183318e+01 	1.112382e-01 	1.112368e-01 	1.107657e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.431985e+02 	7.524780e+02 	2.673859e+01 	8.254099e+01 	1.119203e-01 	1.119112e-01 	1.094952e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.603562e+01 	1.881137e+02 	3.707127e+01 	6.500683e+01 	1.115213e-01 	1.115167e-01 	1.102466e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.363069e+01 	1.146733e+02 	4.097723e+01 	1.006542e+01 	1.114428e-01 	1.114392e-01 	1.103938e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.543747e+02 	1.877658e+02 	1.583123e+01 	1.755986e+01 	1.134696e-01 	1.134436e-01 	1.066645e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.125323e+02 	2.616300e+02 	1.037909e+01 	3.871854e+01 	1.165690e-01 	1.165080e-01 	1.011316e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.035922e+01 	1.454434e+02 	4.713505e+01 	7.794912e+01 	1.113689e-01 	1.113660e-01 	1.105317e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.201677e+02 	3.451045e+02 	6.749677e+01 	5.744005e+01 	1.111976e-01 	1.111965e-01 	1.108446e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
