MD1 	 MD2	 DMP 	 DM3 	 Br(h2->e+e-h1) 	 Br(h2->mu+mu-h1) 	 Br(h2->tau+tau-h1) 	 Br(h2->n+n-h1) 	 Br(h2->Zh1) 	 Br(Z->e+e-) 	 Br(Z->mu+mu-) 	 Br(Z->tau+tau-) 	 Br(Z->n+n-)
9.527335e+01 	2.537780e+02 	6.118371e+01 	9.732097e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	7.949647e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.724824e+02 	5.086600e+02 	6.124146e+01 	7.493615e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.929618e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
7.503859e+02 	9.028892e+02 	9.013377e+01 	6.236944e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.989939e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.527420e+01 	1.473239e+02 	7.845328e+01 	5.359644e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.959920e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.494647e+02 	1.973092e+02 	1.723765e+01 	3.060676e+01 	2.714186e-02 	2.714098e-02 	2.686634e-02 	5.365347e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.847305e+01 	1.253164e+02 	7.204296e+01 	3.480042e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.975192e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.603872e+01 	1.764492e+02 	1.506469e+01 	9.534581e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	4.092726e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.755044e+01 	1.223391e+02 	7.474687e+01 	3.004181e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.983565e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.920211e+01 	5.157905e+01 	1.325581e+01 	1.912114e+01 	2.701247e-02 	2.701090e-02 	2.652832e-02 	5.339767e-02 	0.000000e+00 	3.404750e-02 	3.404723e-02 	3.397086e-02 	6.730438e-02 
6.354401e+01 	1.268081e+02 	4.341194e+01 	1.985214e+01 	3.420356e-02 	3.420282e-02 	3.396822e-02 	6.761288e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.138566e+01 	1.171651e+02 	1.908560e+01 	6.669386e+01 	1.889803e-02 	1.889528e-02 	1.878722e-02 	3.735723e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.620751e+01 	1.228499e+02 	3.120919e+01 	2.543316e+01 	3.267458e-02 	3.267375e-02 	3.241443e-02 	6.459042e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.337563e+02 	2.945983e+02 	9.616821e+01 	6.467371e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.983460e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.369684e+02 	7.525199e+02 	8.025594e+01 	3.529560e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.997869e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.201885e+02 	2.553212e+02 	4.249205e+01 	9.264062e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	7.805362e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.157084e+01 	8.528354e+01 	3.058791e+01 	4.312480e+01 	2.521084e-02 	2.521041e-02 	2.506949e-02 	4.983625e-02 	0.000000e+00 	3.438792e-02 	3.438765e-02 	3.431051e-02 	6.797732e-02 
