MD1 	 MD2	 DMP 	 DM2 	 Br(h+->e-nu) 	 Br(h+->mu-nu) 	 Br(h+->tau-nu) 	 Br(h+->W+h1) 	 Br(W+->e-nu) 	Br(W+->mu-nu) 	 Br(W+->tau-nu)
3.000000e+01 	1.350000e+02 	5.000000e+00 	1.000000e+02 	1.338797e-01 	1.335812e-01 	7.312469e-02 	0.000000e+00 	1.105214e-01 	1.105210e-01 	1.104403e-01 
3.000000e+01 	5.100000e+01 	2.000000e+01 	1.000000e+00 	1.126074e-01 	1.125908e-01 	1.082489e-01 	0.000000e+00 	1.111405e-01 	1.111402e-01 	1.110590e-01 
3.000000e+01 	6.000000e+01 	2.000000e+01 	1.000000e+01 	1.126074e-01 	1.125908e-01 	1.082489e-01 	0.000000e+00 	1.111405e-01 	1.111402e-01 	1.110590e-01 
3.000000e+01 	1.500000e+02 	2.000000e+01 	1.000000e+02 	1.126074e-01 	1.125908e-01 	1.082489e-01 	0.000000e+00 	1.111405e-01 	1.111402e-01 	1.110590e-01 
3.000000e+01 	7.100000e+01 	4.000000e+01 	1.000000e+00 	1.114713e-01 	1.114673e-01 	1.103428e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	8.000000e+01 	4.000000e+01 	1.000000e+01 	1.114713e-01 	1.114673e-01 	1.103428e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	1.700000e+02 	4.000000e+01 	1.000000e+02 	1.114713e-01 	1.114673e-01 	1.103428e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	9.100000e+01 	6.000000e+01 	1.000000e+00 	1.112492e-01 	1.112476e-01 	1.107525e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	1.000000e+02 	6.000000e+01 	1.000000e+01 	1.112492e-01 	1.112476e-01 	1.107525e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	1.900000e+02 	6.000000e+01 	1.000000e+02 	1.112492e-01 	1.112476e-01 	1.107525e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	1.110000e+02 	8.000000e+01 	1.000000e+00 	1.111400e-01 	1.111325e-01 	1.109247e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	1.200000e+02 	8.000000e+01 	1.000000e+01 	1.111400e-01 	1.111325e-01 	1.109247e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	2.100000e+02 	8.000000e+01 	1.000000e+02 	1.111400e-01 	1.111325e-01 	1.109247e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
