MD1 	 MD2	 DMP 	 DM2 	 Br(h+->e+nu) 	 Br(h+->mu+nu) 	 Br(h+->tau+nu) 	 Br(h+->W-h1) 	 Br(W-->e+nu) 	Br(W-->mu+nu) 	 Br(W-->tau+nu)
3.234392e+02 	3.700568e+02 	3.483696e+01 	1.178071e+01 	1.115745e-01 	1.115693e-01 	1.101404e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.253851e+01 	9.739640e+01 	6.415418e+01 	1.070371e+01 	1.112279e-01 	1.112266e-01 	1.107893e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.919213e+01 	1.341506e+02 	5.248299e+01 	2.247553e+01 	1.112986e-01 	1.112965e-01 	1.106622e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.377631e+01 	1.981226e+02 	8.504900e+01 	8.929729e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.002955e+02 	3.624626e+02 	3.815105e+01 	2.401606e+01 	1.114914e-01 	1.114872e-01 	1.102956e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.531523e+01 	1.016999e+02 	4.852204e+01 	3.786260e+01 	1.113587e-01 	1.113560e-01 	1.105495e-01 	0.000000e+00 	1.111348e-01 	1.111345e-01 	1.110533e-01 
9.208846e+02 	9.481759e+02 	1.578968e+01 	1.150163e+01 	1.134775e-01 	1.134512e-01 	1.066406e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.328623e+01 	1.201195e+02 	8.289998e+01 	1.393324e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.479469e+01 	7.997971e+01 	3.052053e+01 	3.466449e+01 	1.117725e-01 	1.117652e-01 	1.097877e-01 	0.000000e+00 	1.104321e-01 	1.104317e-01 	1.103511e-01 
4.860280e+02 	5.956218e+02 	7.214205e+01 	3.745170e+01 	1.111741e-01 	1.111732e-01 	1.108812e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.698248e+01 	1.175905e+02 	4.107541e+01 	2.953261e+01 	1.114442e-01 	1.114406e-01 	1.103921e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.337337e+01 	1.005914e+02 	1.181363e+01 	3.540442e+01 	1.153465e-01 	1.152995e-01 	1.033010e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.042051e+01 	4.938481e+01 	2.143809e+01 	1.752621e+01 	1.124777e-01 	1.124625e-01 	1.084959e-01 	0.000000e+00 	1.094679e-01 	1.094676e-01 	1.093876e-01 
2.142657e+02 	3.061139e+02 	4.569031e+01 	4.615792e+01 	1.113648e-01 	1.113620e-01 	1.105336e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
9.422035e+02 	1.046624e+03 	5.312217e+01 	5.129842e+01 	1.112838e-01 	1.112819e-01 	1.106773e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.727221e+02 	3.617184e+02 	1.190028e+01 	7.709600e+01 	1.152739e-01 	1.152278e-01 	1.034190e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.881169e+01 	7.467871e+01 	1.023310e+01 	1.563392e+01 	1.167365e-01 	1.166736e-01 	1.008484e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.474374e+02 	3.664034e+02 	9.683632e+01 	2.212971e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.040467e+01 	8.670639e+01 	5.985081e+01 	1.645091e+01 	1.112661e-01 	1.112645e-01 	1.107156e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.015267e+02 	1.858736e+02 	6.261126e+01 	2.173570e+01 	1.112251e-01 	1.112238e-01 	1.107973e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.706594e+02 	6.889141e+02 	5.171550e+01 	6.653930e+01 	1.112971e-01 	1.112950e-01 	1.106550e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.929736e+01 	1.259855e+02 	2.355990e+01 	1.312822e+01 	1.121695e-01 	1.121577e-01 	1.090461e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.352291e+02 	2.886180e+02 	2.117034e+01 	3.221856e+01 	1.124221e-01 	1.124074e-01 	1.085752e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000206e+02 	3.769258e+02 	1.733543e+01 	5.956976e+01 	1.130746e-01 	1.130528e-01 	1.073791e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.245663e+02 	5.771883e+02 	2.200117e+01 	3.062082e+01 	1.123212e-01 	1.123076e-01 	1.087564e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
9.300560e+01 	1.777084e+02 	7.348347e+01 	1.121934e+01 	1.111962e-01 	1.111876e-01 	1.108906e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.023175e+02 	5.733142e+02 	9.884032e+01 	7.215642e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.133914e+01 	7.013184e+01 	4.612705e+01 	1.266565e+01 	1.113967e-01 	1.113936e-01 	1.104786e-01 	0.000000e+00 	1.109091e-01 	1.109088e-01 	1.108278e-01 
5.251891e+02 	6.237860e+02 	4.708871e+01 	5.150823e+01 	1.113453e-01 	1.113427e-01 	1.105653e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.046747e+02 	1.785728e+02 	1.737342e+01 	5.652464e+01 	1.130703e-01 	1.130486e-01 	1.073933e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.280685e+02 	6.547916e+02 	4.245108e+01 	8.427196e+01 	1.114093e-01 	1.114060e-01 	1.104457e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.164875e+02 	8.788912e+02 	1.168831e+01 	5.071542e+01 	1.154227e-01 	1.153748e-01 	1.031493e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.772554e+01 	1.068850e+02 	5.705543e+01 	1.210401e+01 	1.112665e-01 	1.112648e-01 	1.107215e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.888668e+02 	5.280074e+02 	7.788631e+01 	6.125432e+01 	1.111589e-01 	1.111530e-01 	1.109213e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.496602e+01 	1.774754e+02 	2.564089e+01 	8.686852e+01 	1.120039e-01 	1.119940e-01 	1.093536e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.332582e+01 	1.545135e+02 	5.907582e+01 	1.211190e+01 	1.112470e-01 	1.112455e-01 	1.107573e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.251455e+02 	1.567765e+02 	1.342207e+01 	1.820899e+01 	1.143914e-01 	1.143551e-01 	1.050014e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.772757e+02 	2.402327e+02 	1.056434e+01 	5.239270e+01 	1.163822e-01 	1.163234e-01 	1.014610e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.692836e+02 	4.579114e+02 	2.042763e+01 	6.820011e+01 	1.125196e-01 	1.125038e-01 	1.083936e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
7.110107e+01 	1.537139e+02 	5.510683e+01 	2.750599e+01 	1.112757e-01 	1.112739e-01 	1.107043e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.099958e+01 	1.709630e+02 	2.722236e+01 	6.274101e+01 	1.118984e-01 	1.118896e-01 	1.095474e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
7.885461e+01 	1.699529e+02 	3.065145e+01 	6.044681e+01 	1.117265e-01 	1.117196e-01 	1.098660e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.218695e+02 	1.577147e+02 	2.078999e+01 	1.505521e+01 	1.124740e-01 	1.124588e-01 	1.084837e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.772542e+01 	9.168314e+01 	1.407949e+01 	1.987823e+01 	1.141008e-01 	1.140678e-01 	1.055297e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.638963e+02 	5.346784e+02 	5.865645e+01 	1.212561e+01 	1.112444e-01 	1.112428e-01 	1.107546e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.091070e+02 	4.661227e+02 	1.178148e+01 	4.523428e+01 	1.153566e-01 	1.153095e-01 	1.032698e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
7.798676e+01 	1.311350e+02 	1.252201e+01 	4.062620e+01 	1.148802e-01 	1.148385e-01 	1.041289e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.582464e+01 	9.180862e+01 	3.386491e+01 	3.211907e+01 	1.116274e-01 	1.116217e-01 	1.100542e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.145858e+01 	1.101852e+02 	4.055656e+01 	4.817010e+01 	1.114681e-01 	1.114642e-01 	1.103488e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
7.679173e+01 	1.630676e+02 	5.497152e+01 	3.130439e+01 	1.112763e-01 	1.112745e-01 	1.107031e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.882711e+02 	2.889284e+02 	4.406783e+01 	5.658945e+01 	1.113874e-01 	1.113843e-01 	1.104922e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.821973e+01 	1.017269e+02 	1.661683e+01 	5.689033e+01 	1.132784e-01 	1.132545e-01 	1.070251e-01 	0.000000e+00 	1.109336e-01 	1.109332e-01 	1.108522e-01 
7.273091e+02 	8.385938e+02 	9.028860e+01 	2.099618e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999999e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.642914e+01 	1.646812e+02 	9.442959e+01 	4.382252e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.033198e+01 	8.787836e+01 	1.558280e+01 	6.196358e+01 	1.136557e-01 	1.136275e-01 	1.063566e-01 	0.000000e+00 	1.091078e-01 	1.091074e-01 	1.090277e-01 
