MD1 	 MD2	 DMP 	 DM3 	 Br(h2->e+e-h1) 	 Br(h2->mu+mu-h1) 	 Br(h2->tau+tau-h1) 	 Br(h2->n+n-h1) 	 Br(h2->Zh1) 	 Br(Z->e+e-) 	 Br(Z->mu+mu-) 	 Br(Z->tau+tau-) 	 Br(Z->n+n-)
1.000000e+01 	1.900000e+02 	8.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	7.218813e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.000000e+01 	1.310000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.000000e+01 	1.400000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999983e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.000000e+01 	2.300000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	8.284039e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.000000e+01 	2.600000e+01 	5.000000e+00 	1.000000e+00 	4.390533e-02 	4.383569e-02 	2.206080e-02 	8.679112e-02 	0.000000e+00 	3.347519e-02 	3.347493e-02 	3.339984e-02 	6.617305e-02 
2.000000e+01 	3.500000e+01 	5.000000e+00 	1.000000e+01 	2.649509e-02 	2.648837e-02 	2.444440e-02 	5.237492e-02 	0.000000e+00 	3.364500e-02 	3.364473e-02 	3.356926e-02 	6.650872e-02 
2.000000e+01 	1.250000e+02 	5.000000e+00 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.912013e-01 	3.419885e-02 	3.419858e-02 	3.412186e-02 	6.760356e-02 
2.000000e+01 	4.100000e+01 	2.000000e+01 	1.000000e+00 	3.654813e-02 	3.654334e-02 	3.509528e-02 	7.224757e-02 	0.000000e+00 	3.393186e-02 	3.393159e-02 	3.385548e-02 	6.707578e-02 
2.000000e+01 	5.000000e+01 	2.000000e+01 	1.000000e+01 	3.470971e-02 	3.470740e-02 	3.399784e-02 	6.861342e-02 	0.000000e+00 	3.411123e-02 	3.411096e-02 	3.403444e-02 	6.743035e-02 
2.000000e+01 	1.400000e+02 	2.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	3.801859e-01 	3.436808e-02 	3.436780e-02 	3.429071e-02 	6.793808e-02 
2.000000e+01 	6.100000e+01 	4.000000e+01 	1.000000e+00 	3.494058e-02 	3.493923e-02 	3.451392e-02 	6.906979e-02 	0.000000e+00 	3.432714e-02 	3.432687e-02 	3.424987e-02 	6.785717e-02 
2.000000e+01 	7.000000e+01 	4.000000e+01 	1.000000e+01 	3.466453e-02 	3.466355e-02 	3.434787e-02 	6.852412e-02 	0.000000e+00 	3.440491e-02 	3.440463e-02 	3.432746e-02 	6.801089e-02 
2.000000e+01 	1.600000e+02 	4.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	5.534580e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.000000e+01 	8.100000e+01 	6.000000e+01 	1.000000e+00 	3.459996e-02 	3.459920e-02 	3.435612e-02 	6.839647e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.000000e+01 	9.000000e+01 	6.000000e+01 	1.000000e+01 	3.451197e-02 	3.451133e-02 	3.430615e-02 	6.822251e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
