Mh	DMP	CrossSection_fb	 	~h-->N1,e1,~h1	~h-->N2,e2,~h1	~h-->N3,e3,~h1	~h+->n1,E1,~h1	~h+->n2,E2,~h1	~h+->n3,E3,~h1	totalWidth	brh2	brhp	brhm	cs_total
140	80	1.992500e+01	1.003700e-01	1.002700e-01	1.003800e-01	NaN	NaN	NaN	NaN	NaN	NaN	3.010200e-01	1.000000e+00	NaN	NaN	1.992500e+01
140	90	1.793700e+01	1.221800e-01	1.210500e-01	1.205800e-01	NaN	NaN	NaN	NaN	NaN	NaN	3.638100e-01	1.000000e+00	NaN	NaN	1.793700e+01
150	10	4.466900e+01	7.963700e-03	7.972300e-03	7.939800e-03	NaN	NaN	NaN	NaN	NaN	NaN	2.387580e-02	1.000000e+00	NaN	NaN	4.466900e+01
150	100	1.620800e+01	1.429600e-01	1.439100e-01	1.443600e-01	NaN	NaN	NaN	NaN	NaN	NaN	4.312300e-01	1.000000e+00	NaN	NaN	1.620800e+01
150	110	1.466600e+01	1.697700e-01	1.707600e-01	1.690600e-01	NaN	NaN	NaN	NaN	NaN	NaN	5.095900e-01	1.000000e+00	NaN	NaN	1.466600e+01
150	120	1.330800e+01	1.987300e-01	1.981500e-01	1.976400e-01	NaN	NaN	NaN	NaN	NaN	NaN	5.945200e-01	1.000000e+00	NaN	NaN	1.330800e+01
150	20	3.930500e+01	1.533300e-02	1.526500e-02	1.525100e-02	NaN	NaN	NaN	NaN	NaN	NaN	4.584900e-02	1.000000e+00	NaN	NaN	3.930500e+01
150	30	3.480200e+01	2.450900e-02	2.447400e-02	2.458800e-02	NaN	NaN	NaN	NaN	NaN	NaN	7.357100e-02	1.000000e+00	NaN	NaN	3.480200e+01
150	40	3.100500e+01	3.586000e-02	3.600400e-02	3.591700e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.077810e-01	1.000000e+00	NaN	NaN	3.100500e+01
150	50	2.759000e+01	4.892900e-02	4.912900e-02	4.903600e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.470940e-01	1.000000e+00	NaN	NaN	2.759000e+01
150	60	2.469700e+01	6.413000e-02	6.415900e-02	6.376300e-02	NaN	NaN	NaN	NaN	NaN	NaN	1.920520e-01	1.000000e+00	NaN	NaN	2.469700e+01
150	70	2.214300e+01	8.147000e-02	8.117100e-02	8.096400e-02	NaN	NaN	NaN	NaN	NaN	NaN	2.436050e-01	1.000000e+00	NaN	NaN	2.214300e+01
